ID,Paper Title,Publication Year,Author Keywords,Article Citation Count,Authors with Affiliations
530,Fault Localization with Code Coverage Representation Learning,2021,Fault Localization;Code Coverage;Representation Learning;Machine Learning;Deep Learning,29,"Y. Li (Department of Informatics, New Jersey Institute of Technology, New Jersey, USA); S. Wang (Department of Informatics, New Jersey Institute of Technology, New Jersey, USA); T. Nguyen (University of Texas at Dallas, Dallas, TX, USA)"
531,An Empirical Study on Deployment Faults of Deep Learning Based Mobile Applications,2021,deep learning;mobile applications;deployment faults,19,"Z. Chen (Ministry of Education, Key Lab of High Confidence Software Technologies (Peking University), Beijing, China); H. Yao (Ministry of Education, Key Lab of High Confidence Software Technologies (Peking University), Beijing, China); Y. Lou (Ministry of Education, Key Lab of High Confidence Software Technologies (Peking University), Beijing, China); Y. Cao (Ministry of Education, Key Lab of High Confidence Software Technologies (Peking University), Beijing, China); Y. Liu (Ministry of Education, Key Lab of High Confidence Software Technologies (Peking University), Beijing, China); H. Wang (Beijing University of Posts and Telecommunications, Beijing, China); X. Liu (Ministry of Education, Key Lab of High Confidence Software Technologies (Peking University), Beijing, China)"
532,Extracting Concise Bug-Fixing Patches from Human-Written Patches in Version Control Systems,2021,Defect;Bug;Testing;Patch;Repository;Dataset,8,"Y. Jiang (School of Computer Science and Technology, Beijing Institute of Technology, China); H. Liu (School of Computer Science and Technology, Beijing Institute of Technology, China); N. Niu (Department of Electrical Engineering and Computer Science, University of Cincinnati, USA); L. Zhang (Key Laboratory of High Confidence Software Technologies, Peking University, China); Y. Hu (School of Computer Science and Technology, Beijing Institute of Technology, China)"
533,Input Algebras,2021,testing;debuggin;faults;oracles,1,"R. Gopinath (CISPA Helmholtz Center for Information Security, Saarbrucken, Germany); H. Nemati (CISPA Helmholtz Center for Information Security, Saarbrucken, Germany); A. Zeller (CISPA Helmholtz Center for Information Security, Saarbrucken, Germany)"
534,Fuzzing Symbolic Expressions,2021,concolic execution;fuzzing testing;SMT solver,6,"L. Borzacchiello (DIAG Department, Sapienza University of Rome, Rome, Italy); E. Coppa (DIAG Department, Sapienza University of Rome, Rome, Italy); C. Demetrescu (DIAG Department, Sapienza University of Rome, Rome, Italy)"
535,Growing a Test Corpus with Bonsai Fuzzing,2021,test-case generation;grammar-based testing;fuzz testing;small scope hypothesis;test-case reduction,1,"V. Vikram (University of California, Berkeley, Berkeley, CA, USA); R. Padhye (Carnegie Mellon University, Pittsburgh, PA, USA); K. Sen (University of California, Berkeley, Berkeley, CA, USA)"
536,We'll Fix It in Post: What Do Bug Fixes in Video Game Update Notes Tell Us?,2021,video games;bugs;bug fix,1,"A. Truelove (University of California, USA); E. Santana de Almeida (Federal University of Bahia, Brazil); I. Ahmed (University of California, USA)"
537,GUIGAN: Learning to Generate GUI Designs Using Generative Adversarial Networks,2021,Graphical User Interface;mobile application;GUI design;deep learning;Generative Adversarial Network,18,"T. Zhao (Jilin University, Changchun, China); C. Chen (Monash University, Melbourne, australia); Y. Liu (Jilin University, Changchun, China); X. Zhu (Jilin University, Changchun, China)"
538,DonÃ¢â‚¬â„¢t Do That! Hunting Down Visual Design Smells in Complex UIs Against Design Guidelines,2021,GUI testing;UI design smell;Violation detection;Material design,15,"B. Yang (Zhejiang University, China); Z. Xing (australian National University, australia); X. Xia (Monash University, australia); C. Chen (Monash University, australia); D. Ye (Tencent AI Lab, China); S. Li (Zhejiang University, China)"
539,"Same File, Different Changes: The Potential of Meta-Maintenance on GitHub",2021,Computer languages; Statistical analysis; Tools; Maintenance engineering; Software; Software development management; Software engineering,5,H. Hata (Nara Institute of Science and Technology); R. G. Kula (Nara Institute of Science and Technology); T. Ishio (Nara Institute of Science and Technology); C. Treude (University of Adelaide)
540,Can Program Synthesis be Used to Learn Merge Conflict Resolutions? An Empirical Analysis,2021,merge conflict;program synthesis;automated fixing,6,"R. Pan (Iowa State University, Ames, IA, USA); V. Le (Microsoft Corporation, Redmond, WA, USA); N. Nagappan (Microsoft Corporation, Redmond, WA, USA); S. Gulwani (Microsoft Corporation, Redmond, WA, USA); S. Lahiri (Microsoft Corporation, Redmond, WA, USA); M. Kaufman (Microsoft Corporation, Redmond, WA, USA)"
541,Abacus: Precise Side-Channel Analysis,2021,Monte Carlo methods; Prototypes; Side-channel attacks; Manuals; Tools; Security; Software engineering,2,Q. Bao (The Pennsylvania State University); Z. Wang (The Pennsylvania State University); X. Li (The Pennsylvania State University); J. R. LarUSA (EPFL); D. Wu (The Pennsylvania State University)
542,Data-Driven Synthesis of Provably Sound Side Channel Analyses,2021,Software algorithms; Training data; Static analysis; Tools; Software; Cryptography; Cryptographic protocols,3,J. Wang (University of Southern California); C. Sung (University of Southern California); M. Raghothaman (University of Southern California); C. Wang (University of Southern California)
543,IMGDroid: Detecting Image Loading Defects in Android Applications,2021,Android app;image loading;defect analysis,2,"W. Song (School of Computer Sci. & Eng., Nanjing University of Sci. & Tech., Nanjing, China); M. Han (School of Computer Sci. & Eng., Nanjing University of Sci. & Tech., Nanjing, China); J. Huang (Parasol Laboratory, Texas A&M University, College Station, TX, USA)"
544,Fast Parametric Model Checking through Model Fragmentation,2021,Parametric model checking;discrete time Markov chains;non-functional properties,7,"X. Fang (University of York, UK); R. Calinescu (University of York, UK); S. Gerasimou (University of York, UK); F. Alhwikem (University of York, UK)"
545,Trace-Checking CPS Properties: Bridging the Cyber-Physical Gap,2021,Monitors;Languages;Specification;Validation;Formal methods;Semantics,4,"C. Menghi (University of Luxembourg Luxembourg, Luxembourg); E. Vigano (University of Luxembourg, Luxembourg, Luxembourg); D. Bianculli (University of Luxembourg Luxembourg, Luxembourg); L. C. Briand (University of Luxembourg Luxembourg, Luxembourg University of Ottawa, Ottawa, Canada)"
546,CENTRIS: A Precise and Scalable Approach for Identifying Modified Open-Source Software Reuse,2021,Open-Source Software;Software Composition Analysis;Software Security,10,S. Woo (Korea University); S. Park (Korea University); S. Kim (Georgia Institute of Technology); H. Lee (Korea University); H. Oh (Korea University)
547,Interpretation-Enabled Software Reuse Detection Based on a Multi-level Birthmark Model,2021,Binary Similarity Analysis;Software Reuse Detection;Multi-Level Software Birthmark;Interpretation,6,"X. Xu (Key Laboratory of Intelligent Networks and Network Security, Ministry of Education, China); Q. Zheng (Key Laboratory of Intelligent Networks and Network Security, Ministry of Education, China); Z. Yan (State Key Lab on Integrated Services Networks, School of Cyber Engineering, Xidian University, China); M. Fan (Key Laboratory of Intelligent Networks and Network Security, Ministry of Education, China); A. Jia (Key Laboratory of Intelligent Networks and Network Security, Ministry of Education, China); T. Liu (Key Laboratory of Intelligent Networks and Network Security, Ministry of Education, China)"
548,Fast Outage Analysis of Large-Scale Production Clouds with Service Correlation Mining,2021,cloud computing;root cause analysis;outage triage;machine learning,7,"Y. Wang (School of Computer Science, Fudan University, China); G. Li (School of Electronics Engineering and Computer Science, Peking University, Beijing, China); Z. Wang (School of Computer Science, Fudan University, China); Y. Kang (Microsoft Research, Beijing, China); Y. Zhou (School of Computer Science, Fudan University, China); H. Zhang (School of Electrical Engineering and Computing, The University of Newcastle, australia); F. Gao (Microsoft Azure, Redmond, USA); J. Sun (Microsoft Azure, Redmond, USA); L. Yang (Microsoft Azure, Redmond, USA); P. Lee (Microsoft Azure, Redmond, USA); Z. Xu (Microsoft Azure, Redmond, USA); P. Zhao (Microsoft Research, Beijing, China); B. Qiao (Microsoft Research, Beijing, China); L. Li (Microsoft Research, Beijing, China); X. Zhang (Microsoft Research, Beijing, China); Q. Lin (Microsoft Research, Beijing, China)"
549,MuDelta: Delta-Oriented Mutation Testing at Commit Time,2021,mutation testing;commit-relevant mutants;continuous integration;regression testing;machine learning,6,"W. Ma (SnT, University of Luxembourg, Luxembourg); T. Titcheu Chekam (SnT, University of Luxembourg, Esch-sur-Alzette, Luxembourg); M. Papadakis (SnT, University of Luxembourg, Luxembourg); M. Harman (Facebook and University College London, UK)"
550,Does Mutation Testing Improve Testing Practices?,2021,mutation testing;code coverage;fault coupling,11,"G. Petrovic (GrnbH, Google Switzerland, Zurich, Switzerland); M. Ivankovic (GrnbH, Google Switzerland, Zurich, Switzerland); G. Fraser (University of Passau, Passau, Germany); R. JUSAt (University of Washington, Seattle, WA, USA)"
551,Identifying Key Features from App User Reviews,2021,key features;feature extraction;user reviews;app store analysis,10,"H. Wu (State Key Laboratory for Novel Software Technology, Nanjing University, China); W. Deng (State Key Laboratory for Novel Software Technology, Nanjing University, China); X. Niu (State Key Laboratory for Novel Software Technology, Nanjing University, China); C. Nie (State Key Laboratory for Novel Software Technology, Nanjing University, China)"
552,CHAMP: Characterizing Undesired App Behaviors from User Comments Based on Market Policies,2021,User comment;app market;undesired behavior,3,"Y. Hu (Chongqing University of Posts and Telecommunications, Chongqing, China); H. Wang (Beijing University of Posts and Telecommunications, Beijing, China); T. Ji (Case Western Reserve University, USA); X. Xiao (Case Western Reserve University, USA); X. Luo (The Hong Kong Polytechnic University, Hong Kong, China); P. Gao (University of California, Berkeley, USA); Y. Guo (Peking University, Beijing, China)"
553,Prioritize Crowdsourced Test Reports via Deep Screenshot Understanding,2021,Crowdsourced testing;Mobile App Testing;Deep Screenshot Understanding,7,"S. Yu (State Key Laboratory for Novel Software Technology, Nanjing University, China); C. Fang (State Key Laboratory for Novel Software Technology, Nanjing University, China); Z. Cao (State Key Laboratory for Novel Software Technology, Nanjing University, China); X. Wang (State Key Laboratory for Novel Software Technology, Nanjing University, China); T. Li (State Key Laboratory for Novel Software Technology, Nanjing University, China); Z. Chen (State Key Laboratory for Novel Software Technology, Nanjing University, China)"
554,It Takes Two to Tango: Combining Visual and Textual Information for Detecting Duplicate Video-Based Bug Reports,2021,Bug Reporting;Screen Recordings;Duplicate Detection,3,"N. Cooper (College of William & Mary, Williamsburg, VA, USA); C. Bernal-CÃƒÂ¡rdenas (College of William and Mary); O. Chaparro (College of William & Mary, Williamsburg, VA, USA); K. Moran (George Mason University, Fairfax, VA, USA); D. Poshyvanyk (College of William & Mary, Williamsburg, VA, USA)"
555,Automatically Matching Bug Reports With Related App Reviews,2021,app store analytics;natural language processing;deep learning;mining software repositories;software evolution,18,"M. Haering (University of Hamburg, Hamburg, Germany); C. Stanik (University of Hamburg, Hamburg, Germany); W. Maalej (University of Hamburg, Hamburg, Germany)"
556,What Makes a Great Maintainer of Open Source Projects?,2021,Open source software;open source maintainers;great attributes,8,"E. Dias (UFPA, Brazil); P. Meirelles (UNIFESP, Brazil); F. Castor (UFPE, Brazil); I. Steinmacher (UTFPR, Brazil); I. Wiese (UTFPR, Brazil); G. Pinto (UFPA, Brazil)"
557,Representation of Developer Expertise in Open Source Software,2021,Expertise;Developer Expertise;Vector Embedding;Doc2Vec;API;API embedding;Project embedding;Developer embedding;Skill Space;Machine Learning;Open Source;World of Code,7,"T. Dey (The University of Tennessee, Knoxville, TN, USA); A. Karnauch (The University of Tennessee, Knoxville, TN, USA); A. MockUSA (The University of Tennessee, Knoxville, TN, USA)"
558,Extracting Rationale for Open Source Software Development Decisions Ã¢â‚¬â€ A Study of Python Email Archives,2021,Open Source Software Development (OSSD);decision making;Python;rationale;causal extraction;heuristics;Rationale Miner,4,"P. N. Sharma (Department of Information Science, University of Otago, Dunedin, New Zealand); B. T. R. Savarimuthu (Department of Information Science, University of Otago, Dunedin, New Zealand); N. Stanger (Department of Information Science, University of Otago, Dunedin, New Zealand)"
559,Leaving My Fingerprints: Motivations and Challenges of Contributing to OSS for Social Good,2021,Social Good;OSS4SG;OSS;GitHub;open source software,10,"Y. Huang (University of Michigan, Ann Arbor, MI); D. Ford (Microsoft Research, Redmond, WA, USA); T. Zimmermann (Microsoft Research, Redmond, WA, USA)"
560,"Onboarding vs. Diversity, Productivity and Quality Ã¢â‚¬â€ Empirical Study of the OpenStack Ecosystem",2021,Onboarding;Mentoring;Collaboration;contributors;knowledge transfer;Software ecosystems;Open source,2,"A. Foundjem (MCIS Laboratory, Queen's University, Canada); E. Eghan (Polytechnique Montreal, Montreal, QC, Canada); B. Adams (MCIS Laboratory, Queen's University, Canada)"
561,The Shifting Sands of Motivation: Revisiting What Drives Contributors in Open Source,2021,open source;motivation;incentive,35,"M. Gerosa (Northern Arizona University, USA); I. Wiese (Universidade Tecnologica Federal do Parana, Brazil); B. Trinkenreich (Northern Arizona University, USA); G. Link (Bitergia, USA); G. Robles (Universidad Rey Juan Carlos, Spain); C. Treude (University of Adelaide, australia); I. Steinmacher (Northern Arizona University, USA); A. Sarma (Oregon State University, USA)"
562,White-Box Performance-Influence Models: A Profiling and Learning Approach,2021,configuration management;performance;software variability;software product lines,10,"M. Weber (Leipzig University, Germany); S. Apel (Saarland Informatics CampUSA, Saarland University, Germany); N. Siegmund (Leipzig University, Germany)"
563,White-Box Analysis over Machine Learning: Modeling Performance of Configurable Systems,2021,Performance influence modeling;Software configuration;Dynamic analysis,14,"M. Velez (Carnegie Mellon University); P. Jamshidi (University of South Carolina); N. Siegmund (Leipzig University); S. Apel (Saarland Informatics CampUSA, Saarland University); C. Kastner (Carnegie Mellon University, Pittsburgh, PA, USA)"
564,An Empirical Assessment of Global COVID-19 Contact Tracing Applications,2021,Mobile application;Software security privacy;contact tracing;COVID-19,14,"R. Sun (The University of Adelaide, australia); W. Wang (The University of Adelaide, australia); M. Xue (The University of Adelaide, australia); G. Tyson (Queen Mary University of London, United Kingdom); S. Camtepe (CSIRO-Data61, australia); D. C. Ranasinghe (The University of Adelaide, australia)"
565,Sustainable Solving: Reducing the Memory Footprint of IFDS-Based Data Flow Analyses Using Intelligent Garbage Collection,2021,Static Analysis;Performance;IFDS;IDE;Data Flow,1,"S. Arzt (Secure Software Engineering Group, Fraunhofer Institute for Secure Information Technology, Darmstadt, Germany)"
566,Synthesizing Object State Transformers for Dynamic Software Updates,2021,Software maintenance and evolution;dynamic software update;object transformation;program synthesis,2,"Z. Zhao (State Key Laboratory for Novel Software Technology, Nanjing University, China); Y. Jiang (State Key Laboratory for Novel Software Technology, Nanjing University, China); C. Xu (State Key Laboratory for Novel Software Technology, Nanjing University, China); T. Gu (Alibaba Group, Sunnyvale, CA, USA); X. Ma (State Key Laboratory for Novel Software Technology, Nanjing University, China)"
567,Fast and Precise On-the-Fly Patch Validation for All,2021,Runtime; Computer bugs; Maintenance engineering; Tools,4,"L. Chen (Department of Computer Science, The University of Texas at Dallas); Y. Ouyang (Department of Computer Science, The University of Texas at Dallas); L. Zhang (Department of Computer Science, University of Illinois at Urbana-Champaign)"
568,Bounded Exhaustive Search of Alloy Specification Repairs,2021,Alloy;Automated Repair;Formal Specification;Bounded exhaustive analysis,20,"S. Gutierrez Brida (University of Rio Cuarto, Rio Cuarto, Argentina); G. Regis (Department of Computer Science, University of Rio Cuarto, Argentina); G. Zheng (Department of Computer Science & Engineering, University of Nebraska-Lincoln, USA); H. Bagheri (Department of Computer Science & Engineering, University of Nebraska-Lincoln, USA); T. Nguyen (Department of Computer Science & Engineering, University of Nebraska-Lincoln, USA); N. Aguirre (Department of Computer Science, University of Rio Cuarto, Argentina); M. Frias (National Council for Scientific and Technical Research (CONICET), Argentina)"
569,Shipwright: A Human-in-the-Loop System for Dockerfile Repair,2021,Docker;DevOps;Repair,4,"J. Henkel (University of Wisconsin-Madison, Madison, WI, USA); D. Silva (Federal University of Pernambuco, Recife, PE, Brazil); L. Teixeira (Federal University of Pernambuco, Recife, PE, Brazil); M. d'Amorim (Federal University of Pernambuco, Recife, Brazil); T. Reps (University of Wisconsin-Madison, Madison, WI, USA)"
570,CURE: Code-Aware Neural Machine Translation for Automatic Program Repair,2021,automatic program repair;software reliability,61,"N. Jiang (Purdue University, West Lafayette, USA); T. Lutellier (University of Waterloo, Waterloo, Canada); L. Tan (Purdue University, West Lafayette, USA)"
571,A Differential Testing Approach for Evaluating Abstract Syntax Tree Mapping Algorithms,2021,program element mapping;abstract syntax tree;software evolution,3,"Y. Fan (Zhejiang University, China); X. Xia (Monash University, australia); D. Lo (Singapore Management University, Singapore); A. E. Hassan (Queen's University, Canada); Y. Wang (Huawei Sweden Research Center); S. Li (Zhejiang University, China)"
572,InferCode: Self-Supervised Learning of Code Representations by Predicting Subtrees,2021,code search;self supervised;code clone detection;cross language;fine tuning;code retrieval;unlabel data;unlabelled data,28,"N. D. Q. Bui (School of Computing & Information Systems, Singapore Management Univerity); Y. Yu (School of Computing & Communications, The Open University, UK); L. Jiang (School of Computing & Information Systems, Singapore Management Univerity)"
573,Efficient Compiler Autotuning via Bayesian Optimization,2021,Compiler Autotuning;Bayesian Optimization;Compiler Optimization;Configuration,10,"J. Chen (College of Intelligence and Computing, Tianjin University, Tianjin, China); N. Xu (College of Intelligence and Computing, Tianjin University, Tianjin, China); P. Chen (College of Intelligence and Computing, Tianjin University, Tianjin, China); H. Zhang (The University of Newcastle, Callaghan, NSW, australia)"
574,TransRegex: Multi-modal Regular Expression Synthesis by Generate-and-Repair,2021,regex synthesis;regex repair;programming by natural languages;programming by example,4,"Y. Li (State Key Laboratory of Computer Science, Institute of Software, Chinese Academy of Sciences, Beijing, China); S. Li (School of Computer Science and Technology, University of Chinese Academy of Sciences, Beijing, China); Z. Xu (College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China); J. Cao (The Hong Kong University of Science and Technology, Hong Kong, China); Z. Chen (State Key Laboratory of Computer Science, Institute of Software, Chinese Academy of Sciences, Beijing, China); Y. Hu (Science #x0026); H. Chen (Technology on Integrated Infomation System Laboratory, Institute of Software, Chinese Academy of Sciences, Beijing, China); S. -C. Cheung (State Key Laboratory of Computer Science, Institute of Software, Chinese Academy of Sciences, Beijing, China)"
575,EvoSpex: An Evolutionary Algorithm for Learning Postconditions,2021,Oracle Problem;Specification Synthesis;Evolutionary Computation;Program Assertions,4,"F. Molina (Department of Computer Science, University of Rio Cuarto, Argentina); P. Ponzio (Department of Computer Science, University of Ri­o Cuarto, Argentina); N. Aguirre (Department of Computer Science, University of Rio Cuarto, Argentina); M. Frias (National Council for Scientific and Technical Research (CONICET), Argentina)"
576,"Interface Compliance of Inline Assembly: Automatically Check, Patch and Refine",2021,low level programming;inline assembly;compilation issues;program analysis,3,"F. Recoules (List, Universite Paris-Saclay, Saclay, France); S. Bardin (List, Universite Paris-Saclay, Saclay, France); R. Bonichon (Tweag I/O, Paris, France); M. Lemerre (Univ. Paris-Saclay, CEA, List, Saclay, France); L. Mounier (Univ. Grenoble Alpes, VERIMAG, Grenoble, France); M. -L. Potet (Univ. Grenoble Alpes, VERIMAG, Grenoble, France)"
577,Enabling Software Resilience in GPGPU Applications via Partial Thread Protection,2021,Reliability;GPGPU application resilience;Transient faults;Thread remapping,5,"L. Yang (William & Mary, Williamsburg, VA); B. Nie (William & Mary, Williamsburg, VA); A. Jog (William & Mary, Williamsburg, VA); E. Smirni (William & Mary, Williamsburg, VA)"
578,Automatic Extraction of Opinion-Based Q&A from Online Developer Chats,2021,opinion question-answering system;public chats;opinion-asking question;answer extraction,9,"P. Chatterjee (University of Delaware, Newark, DE, USA); K. Damevski (Virginia Commonwealth University, Richmond, VA, USA); L. Pollock (University of Delaware, Newark, DE, USA)"
579,Automated Query Reformulation for Efficient Search Based on Query Logs From Stack Overflow,2021,Stack Overflow;Data Mining;Query Reformulation;Deep Learning;Query Logs,20,"K. Cao (Software Institute Nanjing University, China); C. Chen (Faculty of Information Technology, Monash University, australia); S. Baltes (School of Computer Science, University of Adelaide, australia); C. Treude (School of Computer Science, University of Adelaide, australia); X. Chen (School of Information Science and Technology, Nantong University, China)"
580,Automatic Solution Summarization for Crash Bugs,2021,Java; Computer bugs; Diversity reception; Documentation; Search engines; Software; Software engineering,5,"H. Wang (College of Computer Science and Technology, Zhejiang University); X. Xia (Faculty of Information Technology, Monash University); D. Lo (School of Information Systems, Singapore Management University); J. Grundy (Faculty of Information Technology, Monash University); X. Wang (College of Computer Science and Technology, Zhejiang University)"
581,Supporting Quality Assurance with Automated Process-Centric Quality Constraints Checking,2021,software engineering process;traceability;developer support,5,"C. Mayr-Dorn (Johannes Kepler University, Linz, AUSAtria); M. VierhaUSAer (Johannes Kepler University, Linz, AUSAtria); S. Bichler (Johannes Kepler University, Linz, AUSAtria); F. Keplinger (Johannes Kepler University, Linz, AUSAtria); J. Cleland-Huang (University of Notre Dame, Notre Dame, USA); A. Egyed (Johannes Kepler University, Linz, AUSAtria); T. Mehofer (Frequentis AG, Vienna, AUSAtria)"
582,Understanding Bounding Functions in Safety-Critical UAV Software,2021,unmanned aerial vehicles;bounding functions;safety,1,"X. Liang (SUNY Binghamton, Binghamton, New York); J. H. Burns (SUNY Binghamton, Binghamton, New York); J. Sanchez (SUNY Binghamton, Binghamton, New York); K. Dantu (SUNY Buffalo, Buffalo, New York); L. Ziarek (SUNY Buffalo, Buffalo, New York); Y. D. Liu (SUNY Binghamton, Binghamton, New York)"
583,Enhancing Genetic Improvement of Software with Regression Test Selection,2021,Genetic Improvement;Regression Test Selection;Search Based Software Engineering;Genetic Programming,2,"G. Guizzo (Department of Computer Science, University College London (UCL), London, United Kingdom); J. Petke (Department of Computer Science, University College London (UCL), London, United Kingdom); F. Sarro (Department of Computer Science, University College London (UCL), London, United Kingdom); M. Harman (Department of Computer Science, University College London (UCL), London, United Kingdom)"
584,Containing Malicious Package Updates in npm with a Lightweight Permission System,2021,security;malicious package updates;supplychain security;package management;permission system;sandboxing;design trade-offs,8,"G. Ferreira (Carnegie Mellon University); L. Jia (Carnegie Mellon University); J. Sunshine (Carnegie Mellon University); C. Kastner (Carnegie Mellon University, Pittsburgh, PA, USA)"
585,Too Quiet in the Library: An Empirical Study of Security Updates in Android Apps' Native Code,2021,Apps and App Store Analysis;Empirical Software Engineering;Evolution and maintenance;Mining Software Repositories;Mobile applications;Software Security,2,"S. Almanee (University of California, Irvine); A. Unal (University of California Irvine, Irvine, CA, USA); M. Payer (EPFL); J. Garcia (University of California, Irvine)"
586,"If It's Not Secure, It Should Not Compile: Preventing DOM-Based XSS in Large-Scale Web Development with API Hardening",2021,web security;cross-site scripting;language based security;empirical software engineering,1,P. Wang (Security Engineering Research Google); J. Bangert (Security Engineering Research Google); C. Kern (Security Engineering Research Google)
587,Why Security Defects Go Unnoticed During Code Reviews? A Case-Control Study of the Chromium OS Project,2021,security;code review;vulnerability,11,"R. Paul (Department of Computer Science, Wayne State University, Detroit, Michigan, USA); A. K. Turzo (Department of Computer Science, Wayne State University, Detroit, Michigan, USA); A. Bosu (Department of Computer Science, Wayne State University, Detroit, Michigan, USA)"
588,Technical Leverage in a Software Ecosystem: Development Opportunities and Security Risks,2021,software security;dependencies;vulnerabilities;leverage;technical debt;empirical analysis;Maven;free open source software,3,"F. Massacci (University of Trento (IT), Vrije Universiteit Amsterdam (NL)); I. Pashchenko (University of Trento (IT))"
589,RAICC: Revealing Atypical Inter-Component Communication in Android Apps,2021,Static Analysis;Android Security,11,"J. Samhi (SnT, University of Luxembourg); A. Bartel (SnT, University of Luxembourg); T. F. Bissyande (University of Luxembourg, Luxembourg, Luxembourg); J. Klein (SnT, University of Luxembourg)"
590,Smart Contract Security: A Practitioners' Perspective,2021,Security;Empirical study;Smart contract;Practitioner,10,"Z. Wan (College of Computer Science and Technology, Zhejiang University); X. Xia (Faculty of Information Technology, Monash University); D. Lo (School of Information Systems, Singapore Management University); J. Chen (Faculty of Information Technology, Monash University); X. Luo (Department of Computing, Hong Kong Polytechnic University); X. Yang (College of Computer Science and Technology, Zhejiang University)"
591,AID: An Automated Detector for Gender-Inclusivity Bugs in OSS Project Pages,2021,Gender inclusivity;automation;open source;information processing,9,"A. Chatterjee (Oregon State University, Corvallis, OR, USA); M. Guizani (Oregon State University, Corvallis, OR, USA); C. Stevens (Oregon State University, Corvallis, OR, USA); J. Emard (Oregon State University, Corvallis, OR, USA); M. E. May (Oregon State University, Corvallis, OR, USA); M. Burnett (Oregon State University, Corvallis, OR, USA); I. Ahmed (University of California, Irvine, Irvine, CA)"
592,"""Ignorance and Prejudice"" in Software Fairness",2021,software fairness;machine learning fairness,16,"J. M. Zhang (University College London, London, UK); M. Harman (University College London, London, UK)"
593,Semi-Supervised Log-Based Anomaly Detection via Probabilistic Label Estimation,2021,Log Analysis;Anomaly Detection;Deep Learning;Probabilistic Estimation;Label,48,"L. Yang (College of Intelligence and Computing, Tianjin University, Tianjin, China); J. Chen (College of Intelligence and Computing, Tianjin University, Tianjin, China); Z. Wang (College of Intelligence and Computing, Tianjin University, Tianjin, China); W. Wang (College of Intelligence and Computing, Tianjin University, Tianjin, China); J. Jiang (College of Intelligence and Computing, Tianjin University, Tianjin, China); X. Dong (Information and Network Center, Tianjin University, Tianjin, China); W. Zhang (Information and Network Center, Tianjin University, Tianjin, China)"
594,DeepLV: Suggesting Log Levels Using Ordinal Based Neural Networks,2021,logs;deep learning;log level;empirical study,19,"Z. Li (Department of Computer Science and Software Engineering, Concordia University, Montreal, Canada); H. Li (Department of Computer Engineering and Software Engineering, Polytechnique MontrÃƒÂ©al, Montreal, Canada); T. -H. Chen (Concordia University, Canada); W. Shang (Department of Computer Science and Software Engineering, Concordia University, Montreal, Canada)"
595,How to Identify Boundary Conditions with Contrasty Metric?,2021,Goal Oriented Requirement Engineering;Boundary Conditions;Goal Conflict Identification,1,"W. Luo (School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China); H. Wan (School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China); X. Song (School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China); B. Yang (School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China); H. Zhong (School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China); Y. Chen (School of Computer Science, South China Normal University, Guangzhou, China)"
596,Using Domain-Specific Corpora for Improved Handling of Ambiguity in Requirements,2021,Requirements Engineering;Natural-language Requirements;Ambiguity;Natural Language Processing;Corpus Generation;Wikipedia,15,"S. Ezzini (SnT Centre for Security, Reliability and TrUSAt, University of Luxembourg, Luxembourg); S. Abualhaija (SnT Centre for Security, Reliability and TrUSAt, University of Luxembourg, Luxembourg); C. Arora (Deakin University, Geelong, australia); M. Sabetzadeh (School of Electrical Engineering and Computer Science, University of Ottawa, Canada); L. C. Briand (SnT Centre for Security, Reliability and TrUSAt, University of Luxembourg, Luxembourg)"
597,On Indirectly Dependent Documentation in the Context of Code Evolution: A Study,2021,code evolution;GitHub repositories;documentation;commits,1,"D. Sondhi (IIIT-Delhi, New Delhi, India); A. Gupta (IIIT-Delhi, New Delhi, India); S. Purandare (IIIT-Delhi, New Delhi, India); A. Rana (IIIT-Delhi, New Delhi, India); D. KaUSAhal (IIIT-Delhi, New Delhi, India); R. Purandare (IIIT-Delhi, New Delhi, India)"
598,CodeShovel: Constructing Method-Level Source Code Histories,2021,source code history;maintenance;history slicing,8,"F. Grund (Department of Computer Science, University of British Columbia, Vancouver, Canada); S. A. Chowdhury (University of British Columbia); N. C. Bradley (Department of Computer Science, University of British Columbia, Vancouver, Canada); B. Hall (Department of Computer Science, University of British Columbia, Vancouver, Canada); R. Holmes (Department of Computer Science, University of British Columbia, Vancouver, Canada)"
599,Evaluating Unit Testing Practices in R Packages,2021,R programming;mining software repositories;testing technical debt;unit testing;developers survey,4,"M. Vidoni (School of Computing Technologies, RMIT University, Melbourne, australia)"
600,Data-Oriented Differential Testing of Object-Relational Mapping Systems,2021,Object-Relational Mapping;Differential Testing;Automated Testing,3,"T. Sotiropoulos (Athens University of Economics and BUSAiness, Athens, Greece); S. Chaliasos (Athens University of Economics and BUSAiness, Athens, Greece); V. Atlidakis (Columbia University, New York, USA); D. Mitropoulos (National Infrastructures for Research and Technology - GRNET, Athens University of Economics and BUSAiness, Athens, Greeece); D. Spinellis (Athens University of Economics and BUSAiness, Athens, Greece)"
